ticker,era,exec_score,score_profitability,score_health,score_market,score_efficiency
GIS,saligram_era,0.2873566980607717,0.1361718531583944,0.20719628417804262,0.5661069236768638,0.1928883234777212
HSY,post_2022,-0.21593946015472257,-0.10174890769413464,0.2904222916222841,-0.7711816847702154,-0.49357033505532427
HSY,pre_polk_exit,-0.30344229655713906,0.3217367409458262,-0.9914773887630141,-0.415774125857564,-0.013113759972714517
HSY,saligram_era,0.1603915844584351,-0.4409057881932012,0.5420196285068216,0.3478670576323275,0.15375492571289365
JNJ,post_2022,-0.22540978157493816,-0.0036275942663159207,-0.3174812386145791,-0.09381678395756575,-0.44198061852988907
JNJ,pre_polk_exit,0.4828376514859322,0.9821068616418436,0.12825613392556046,0.9393651874968754,0.04384423359371257
JNJ,saligram_era,0.2587691426346142,0.2889521426780375,0.3482820106755001,0.201849147122068,0.1667066973521649
K,post_2022,0.0821267990463135,0.3312414647976779,-0.099229661459375,-0.04520545450944821,0.10681144402703475
K,pre_polk_exit,0.20441185372129497,0.1568093174703524,0.11455337622658446,0.3987027402770389,
K,saligram_era,0.11767094200261388,0.061718132510390884,0.15487198352488593,0.1318103915844845,
KHC,post_2022,-0.01767999265942084,0.19058946986643466,0.4821777212976766,-0.5801912485292775,-1.2519698541295894
KHC,pre_polk_exit,-0.4629793734800799,-0.6955343182558898,-0.1416552590498773,-0.6542718641556213,
KHC,saligram_era,0.04710023919457646,0.16736676233952583,-0.14054267877656643,0.10128026502018514,0.32883025688709777
KMB,post_2022,0.5938537460837315,0.9712932614658025,0.8237547740773828,-0.3223909493141528,1.1837840733167002
KMB,pre_polk_exit,0.2714533581703709,-0.581385019445909,0.7528356509076023,-0.07794480512301055,0.8261515151366784
KMB,saligram_era,0.19174820899591974,0.09558320109040667,0.06068285687967593,0.3453770119741369,0.3222885970583516
KO,post_2022,-0.0905581047152401,0.5267650852000394,-0.5163621269875756,-0.3020431784677812,-0.027728408901684085
KO,pre_polk_exit,0.18359289464767192,0.9421768609849135,-0.2773284996129339,0.5883375958164802,-0.3456811595118894
KO,saligram_era,0.382849096507897,0.43945238150672394,0.3875044511389797,0.21530358762577528,0.45469579305746827
MAT,post_2022,0.024660153521141887,-0.22510691622279377,0.3609415134539528,-0.12513128964340778,-0.009277254122655692
MAT,pre_polk_exit,-0.2313526577153673,-0.14283801909118624,-0.8498976621848224,0.5988980616935135,-0.24181386650330697
MAT,saligram_era,0.24298188933690557,0.9904381467844522,0.09727340623578874,0.047206913278013254,-0.17300420754218696
MDLZ,post_2022,0.35468092421042785,0.7107929499251311,0.566352489162235,-0.40796645536066206,
MDLZ,pre_polk_exit,0.11040211244236518,0.05306957133983458,-0.1812865017335213,0.6196007100843581,
